Rank,Title,Artiste,ImageUri,LastPosition,HighestPosition,MusicLink
1,Rush,Dangbana Republik & Bella Shmurda,https://tooxclusive.com/wp-content/uploads/2021/01/Rush-artwork.jpeg,0,1,https://www.youtube.com/watch?v=ySe6-EttAUg
2,Godly,Omah Lay,https://i2.wp.com/media.ghgossip.com/wp-content/uploads/2020/11/19162142/Omah-Lay-%E2%80%93-What-Have-We-Done-1.jpg?fit=1200%2C800&ssl=1,1,1,https://www.youtube.com/watch?v=Y_Y3F2wXOxs
3,Koleyewon,Naira Marley,https://tooxclusive.com/wp-content/uploads/2020/12/Koleyewon-artwork.jpeg,2,2,https://www.youtube.com/watch?v=ehKNrE1ZSbg
4,Infinity,Olamide ft. Omah Lay,https://www.naijaloaded.com.ng/wp-content/uploads/2020/10/olamide-1.jpg,3,1,https://www.youtube.com/watch?v=UCUfGghQfms&list=PLo8AT-BqJ-rDv3qe10F7DK33h9SbrhtVS&index=3
5,Cash App,Bella Shmurda ft. Zlatan & Lincoln,https://assets.audiomack.com/bella-shmurda/76e0593f002d2514fbc6b628aa95df752dee2f638d77ed88227a2839a1926b11.jpeg?width=1000&height=1000&max=true,4,2,https://www.youtube.com/watch?v=ogOLxr1bztQ&list=OLAK5uy_mFtCdWYVzBqtida5KmIBRmvnAFfTD38fg
6,High Way,Dj Kaywise ft. Phyno ,https://tooxclusive.com/wp-content/uploads/2020/12/DJ-Kaywise-High-Way-artwork.jpg,5,5,https://v.triller.co/znZqp6
7,Chi Chi,Naira Marley,https://tooxclusive.com/wp-content/uploads/2020/12/Chi-Chi-artwork.jpeg,8,5,https://www.youtube.com/watch?v=CikaJTUQynM
8,The Best,Davido ft. Mayorkun,https://i1.wp.com/legit9ja.com/wp-content/uploads/2020/11/Davido-A-Better-Time-Album_IMG.jpg?fit=768%2C768&ssl=1&resize=350%2C200,13,1,https://www.youtube.com/watch?v=HdFaP0DniDQ&list=PLJYyuMTDI-ieHn0hVe7qOerAb6l93rx1I&index=9
9,Triumphant,Olamide ft. Bella Shmurda,https://www.naijaloaded.com.ng/wp-content/uploads/2020/10/olamide-1.jpg,6,2,https://www.youtube.com/watch?v=Wp-0ex9FS5w&list=PLo8AT-BqJ-rDv3qe10F7DK33h9SbrhtVS&index=5
10,Jowo,Davido ,https://i1.wp.com/legit9ja.com/wp-content/uploads/2020/11/Davido-A-Better-Time-Album_IMG.jpg?fit=768%2C768&ssl=1&resize=350%2C200,7,1,https://www.youtube.com/watch?v=_IgD-qWC_ek&list=PLJYyuMTDI-ieHn0hVe7qOerAb6l93rx1I&index=2
11,KPK (Ko Por Ke),Rexxie & MohBad,https://tooxclusive.com/wp-content/uploads/2020/12/KPK-artwork.jpg,9,1,https://v.triller.co/8azmal
12,Kilofeshe,Zinoleesky,https://www.naijaloaded.com.ng/wp-content/uploads/2020/11/zinoleesky.jpg,12,12,https://www.youtube.com/watch?v=wkL6Hw2_Ff0
